nome_curso,plataforma,categoria,linguagem,duracao_horas,preco,avaliacao_media,num_alunos,certificado,instrutor_experiente,sucesso
Scalability com Linux,Alura,Arquitetura de Software,Linux,25,289.96,4.6,1116,Sim,Não,Médio
Otimização em SIEM,Alura,Banco de Dados,SIEM,29,223.51,4.44,1160,Sim,Sim,Alto
Deep Learning com TensorFlow,Udemy,IA/ML,TensorFlow,46,201.49,4.25,2092,Sim,Sim,Alto
Apps com Swift,DIO,Mobile,Swift,24,143.49,4.1,1381,Sim,Sim,Alto
Arquitetura Limpa com Hadoop,Coursera,Arquitetura de Software,Hadoop,27,255.19,4.73,1973,Sim,Não,Médio
TDD com Swift,Coursera,QA/Testes,Swift,13,275.97,4.82,1169,Sim,Não,Médio
Fundamentos de Spring,Coursera,Programação,Spring,26,181.63,4.67,1537,Sim,Sim,Alto
Dashboards com SQL,Udemy,Dados,SQL,22,171.19,4.46,2406,Não,Não,Médio
Streaming com Spark,Alura,Engenharia de Dados,Spark,33,276.45,4.28,966,Sim,Não,Médio
Data Lakes com React Native,Pluralsight,Engenharia de Dados,React Native,38,232.88,4.65,1164,Sim,Não,Médio
QA Ágil com React Native,Udemy,QA/Testes,React Native,21,123.61,4.55,1337,Não,Sim,Alto
MLOps com Azure,Udemy,IA/ML,Azure,33,234.53,4.5,2470,Sim,Sim,Alto
Infra como Código na Kotlin,Coursera,Cloud,Kotlin,21,303.9,4.67,2513,Sim,Sim,Alto
Orquestração com Flask,Coursera,Engenharia de Dados,Flask,39,291.75,5.0,2342,Sim,Sim,Alto
Machine Learning com Django,Alura,IA/ML,Django,43,230.26,4.22,2136,Sim,Sim,Alto
Blue Team com Pentest,Udemy,Segurança,Pentest,25,178.65,4.41,1413,Sim,Sim,Alto
Consultas em Pentest,DIO,Banco de Dados,Pentest,10,135.65,4.52,907,Não,Sim,Alto
Data Viz com React,Udemy,Dados,React,17,126.63,4.7,1125,Sim,Não,Alto
DevOps com Angular,Coursera,DevOps,Angular,22,249.98,4.37,2236,Sim,Não,Médio
Cross-platform com GitLab CI,Udemy,Mobile,GitLab CI,15,111.53,4.44,1846,Não,Sim,Alto
QA Ágil com SIEM,Coursera,QA/Testes,SIEM,14,189.59,4.53,1755,Sim,Sim,Alto
Serverless na Java,Coursera,Cloud,Java,23,281.94,4.72,2098,Sim,Sim,Alto
Testes Automatizados com FastAPI,Alura,QA/Testes,FastAPI,25,171.38,4.68,1612,Sim,Sim,Alto
Algoritmos com React Native,Alura,Programação,React Native,22,155.23,4.15,1406,Não,Não,Médio
Front-end com AWS,Pluralsight,Desenvolvimento Web,AWS,22,178.8,4.2,2119,Sim,Não,Médio
Certificação na GitLab CI,Udemy,Cloud,GitLab CI,22,217.64,4.83,1435,Sim,Sim,Alto
ETL com IAM,Udemy,Dados,IAM,16,141.29,4.26,1758,Sim,Sim,Alto
Cross-platform com TypeScript,DataCamp,Mobile,TypeScript,10,195.84,4.67,1160,Sim,Sim,Alto
DDD com C#,Pluralsight,Arquitetura de Software,C#,29,237.34,4.06,700,Sim,Sim,Médio
QA Ágil com Node.js,Coursera,QA/Testes,Node.js,8,231.81,4.39,1796,Sim,Sim,Médio
Microservices com Pandas,Origamid,Arquitetura de Software,Pandas,26,188.9,4.54,120,Sim,Sim,Alto
OWASP com NumPy,Pluralsight,Segurança,NumPy,27,234.59,4.22,1688,Sim,Sim,Alto
Front-end com SIEM,Coursera,Desenvolvimento Web,SIEM,26,236.12,4.57,1814,Não,Sim,Médio
Streaming com GCP,Alura,Engenharia de Dados,GCP,32,250.68,4.28,2075,Sim,Sim,Alto
QA Ágil com Kotlin,Coursera,QA/Testes,Kotlin,13,173.21,4.76,1815,Sim,Não,Alto
TDD com Jenkins,Alura,QA/Testes,Jenkins,25,138.7,4.81,470,Sim,Não,Alto
DevOps com IAM,Coursera,DevOps,IAM,17,203.39,4.75,2145,Sim,Sim,Alto
Do Zero em Kubernetes,Udemy,Mobile,Kubernetes,27,146.31,4.13,1839,Sim,Não,Médio
Mobile com OWASP,DIO,Mobile,OWASP,20,149.12,4.12,837,Sim,Não,Médio
MLOps com Kubernetes,Udemy,IA/ML,Kubernetes,40,222.24,4.48,2071,Sim,Sim,Alto
TDD com Spring,DIO,QA/Testes,Spring,15,92.02,4.27,641,Sim,Sim,Alto
QA Ágil com Linux,Alura,QA/Testes,Linux,20,156.97,4.65,319,Sim,Sim,Alto
Dominando TypeScript,DIO,Programação,TypeScript,27,164.84,4.2,472,Sim,Sim,Alto
Cross-platform com GCP,Pluralsight,Mobile,GCP,24,211.57,4.53,1443,Sim,Sim,Alto
Serverless na Jenkins,DIO,Cloud,Jenkins,20,166.61,4.05,1074,Sim,Sim,Médio
Orquestração com TensorFlow,DIO,Engenharia de Dados,TensorFlow,39,192.72,4.36,908,Sim,Sim,Alto
Orquestração com AWS,DIO,Engenharia de Dados,AWS,32,203.31,4.27,690,Sim,Sim,Alto
Cross-platform com Terraform,Alura,Mobile,Terraform,29,196.86,4.55,839,Sim,Sim,Alto
Machine Learning com JavaScript,Coursera,IA/ML,JavaScript,46,377.69,4.7,2505,Sim,Sim,Alto
Otimização em Next.js,Udemy,Banco de Dados,Next.js,24,169.59,4.49,1700,Sim,Não,Médio
Apps com C#,Alura,Mobile,C#,27,161.63,4.34,1512,Sim,Não,Médio
Cross-platform com FastAPI,Alura,Mobile,FastAPI,10,157.77,4.73,1225,Sim,Sim,Alto
Contêineres com SQL,Origamid,DevOps,SQL,33,206.91,4.35,483,Sim,Sim,Alto
ETL com NumPy,Alura,Dados,NumPy,30,217.29,4.38,2330,Sim,Não,Médio
Observabilidade com Rust,Alura,DevOps,Rust,18,249.08,4.58,1106,Sim,Sim,Alto
Do Zero em C#,DataCamp,Mobile,C#,26,152.96,4.51,560,Sim,Sim,Alto
Administração em Linux,DIO,Banco de Dados,Linux,23,179.89,4.33,802,Sim,Sim,Alto
Dashboards com FastAPI,Coursera,Dados,FastAPI,23,206.42,4.5,2504,Sim,Sim,Alto
Consultas em AWS,DIO,Banco de Dados,AWS,21,172.52,4.02,1293,Não,Sim,Médio
Pipelines de Dados com Flutter,Udemy,Engenharia de Dados,Flutter,23,129.54,4.53,1869,Sim,Sim,Alto
Certificação na React,Coursera,Cloud,React,21,281.42,4.58,2096,Sim,Sim,Alto
Certificação na Hadoop,DataCamp,Cloud,Hadoop,22,184.9,3.98,1368,Sim,Sim,Alto
Machine Learning com FastAPI,Udemy,IA/ML,FastAPI,40,184.15,4.6,1932,Sim,Não,Alto
